<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20221018,6,6.3,5.9,6.2,125061
AME,20221018,10.6,10.8,10.6,10.6,3800
AMV,20221018,5.1,5.3,5.1,5.2,609923
API,20221018,12.5,13.2,12.5,12.7,260807
APS,20221018,10,10.2,9.8,9.9,784742
BAB,20221018,14.6,14.9,14.6,14.7,9427
BCC,20221018,9.6,10,9.6,9.8,260939
BCF,20221018,36.2,36.3,36.2,36.3,300
BII,20221018,2.5,2.7,2.5,2.7,849460
BKC,20221018,7.6,7.6,7.6,7.6,13
BNA,20221018,19.5,20,19.3,20,165400
BPC,20221018,8.9,8.9,8.9,8.9,100
BST,20221018,18,18,18,18,1000
BTS,20221018,6.5,6.9,6,6.5,9922
BVS,20221018,18.6,19,18.1,18.5,132244
C69,20221018,9.2,9.5,8.9,9.5,33200
CAG,20221018,8.3,8.8,8.2,8.8,1300
CAP,20221018,82.5,82.5,80.3,81.8,3168
CCR,20221018,12.5,12.5,12.5,12.5,4200
CDN,20221018,25.5,25.5,25.5,25.5,1300
CEO,20221018,14,17,14,17,6338551
CET,20221018,4.1,4.1,4,4.1,9100
CIA,20221018,10.5,10.5,9.9,10.3,14200
CKV,20221018,16.8,20,16.8,20,1300
CLH,20221018,31.9,32,31.8,32,4600
CLM,20221018,85,90,85,90,8000
CMC,20221018,6.6,7.1,6.6,7,2800
CMS,20221018,12.5,12.5,10.6,10.6,15000
CPC,20221018,15.3,15.3,15.3,15.3,172
CSC,20221018,50,53,50,50.6,52254
CTC,20221018,2.8,2.8,2.7,2.7,79800
CTP,20221018,4.3,4.4,4.3,4.4,4700
CVN,20221018,3.9,4.1,3.8,4,167839
CX8,20221018,7.6,8,7.6,7.6,1400
D11,20221018,13.7,13.7,12.3,12.3,300
DAE,20221018,21,21,19.3,19.3,300
DC2,20221018,7,7.2,6.7,6.8,4300
DDG,20221018,40.4,40.9,40.1,40.9,203600
DHT,20221018,39.4,39.4,38.9,39.2,5356
DIH,20221018,28,30.9,27.9,30.8,3034
DL1,20221018,4,4.2,4,4,326048
DNC,20221018,53.3,53.3,53.3,53.3,2
DNP,20221018,23.4,24,23.4,24,3503
DS3,20221018,3.7,3.9,3.5,3.9,267400
DST,20221018,5.4,5.4,5.2,5.3,52000
DTC,20221018,7.8,8.3,7.8,8.3,300
DTD,20221018,14,15,14,14.8,135975
DTK,20221018,9.1,9.1,9,9,1100
DVG,20221018,4.2,4.4,3.9,4.3,890100
DVM,20221018,14.2,15,14.2,14.7,191500
DXP,20221018,11,11.1,10.9,11,20300
DZM,20221018,5,5,4.9,4.9,200
EID,20221018,19.2,20.4,19.2,20.4,211
EVS,20221018,14.3,14.7,14.2,14.2,141282
FID,20221018,2.3,2.5,2.3,2.5,340000
GIC,20221018,15,15,14,14,1901
GKM,20221018,34,34.3,33.2,34,142900
GLT,20221018,26.6,26.6,26.6,26.6,500
GMX,20221018,18.6,18.6,18.6,18.6,1620
HAD,20221018,16,16,16,16,7400
HAT,20221018,20.5,20.5,20.5,20.5,1500
HBS,20221018,5.5,5.7,5.5,5.7,45000
HDA,20221018,8.3,8.6,8.2,8.6,106700
HGM,20221018,47,47,47,47,20
HHG,20221018,2.3,2.3,2.2,2.2,130619
HKT,20221018,5.4,6,5.4,6,200
HLC,20221018,10.9,11.8,10.9,11.8,2329
