<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNAll-INDEX,20221021,1030.69,1030.69,978.57,986.04,551348100
AAA,20221021,8.15,8.15,7.58,7.58,4380600
AAM,20221021,11.35,11.9,10.95,11.35,19200
AAT,20221021,7.76,7.76,7.25,7.25,554200
ABR,20221021,10.65,10.65,9.3,9.3,2100
ABS,20221021,9.78,9.78,8.93,9,198200
ABT,20221021,32,32.05,31.5,31.5,2300
ACB,20221021,21.35,21.35,20.25,20.4,3385500
ACC,20221021,16.3,16.3,15.1,16,294700
ACG,20221021,55.4,57.4,54,54,10800
ACL,20221021,13.35,13.9,12.45,13,144400
ADG,20221021,37.9,38,37.9,38,2200
ADS,20221021,13.3,13.3,12.55,12.55,605200
AGG,20221021,34.9,34.9,33.95,34.55,178400
AGM,20221021,14.4,14.4,13.4,13.95,27600
AGR,20221021,8.25,8.27,7.7,7.7,418200
AMD,20221021,1.35,1.4,1.32,1.32,2708900
ANV,20221021,34,34.1,31.75,31.75,1410400
APC,20221021,14.7,14.7,13.75,14.45,13900
APG,20221021,4.81,4.89,4.51,4.51,1803900
APH,20221021,9.14,9.16,8.5,8.53,1237100
ASG,20221021,26.8,26.8,26.3,26.3,600
ASM,20221021,11.65,11.65,10.7,10.7,3666500
ASP,20221021,6.3,6.35,5.91,5.91,61700
AST,20221021,55,55.1,54,54,39800
BAF,20221021,26,26.1,24.75,25.35,2471100
BBC,20221021,55.5,55.5,53,53,900
BCE,20221021,6.69,6.8,6.5,6.62,191300
BCG,20221021,9.9,9.9,9.03,9.03,4436300
BCM,20221021,84.1,84.1,81,83.5,101300
BFC,20221021,18.2,18.2,17.05,17.05,262500
BIC,20221021,25.4,25.4,24.5,24.5,20600
BID,20221021,33.15,33.15,32.1,32.6,1657300
BKG,20221021,5.6,5.6,5.21,5.21,67900
BMC,20221021,15,15.35,13.8,14.3,52200
BMI,20221021,23.05,23.1,21.8,23,249900
