<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20221024,13.9,13.9,10.8,10.8,96600
ABB,20221024,8.5,8.6,7.7,7.8,2007713
ABI,20221024,37,37,32.8,35.9,6700
ACV,20221024,74,74,73.2,73.6,16731
AFX,20221024,12.8,13.1,12,12.8,11400
AG1,20221024,5.5,6,5.5,6,600
AGP,20221024,19.1,20,18.4,19,19851
AIC,20221024,9.5,9.6,9.5,9.6,2500
AMS,20221024,6.5,6.6,6.3,6.5,34600
APF,20221024,66.8,67,66,66.9,7030
AVC,20221024,42.3,42.5,42.3,42.5,500
BAL,20221024,8.9,9.2,6.8,6.9,8500
BBM,20221024,10.3,10.3,10.3,10.3,110
BBT,20221024,9.5,9.5,9.5,9.5,1810
BCA,20221024,6.5,6.5,6.3,6.3,36000
BCP,20221024,9.6,9.6,9.6,9.5,1
BDG,20221024,26,26,25.9,25.9,3500
BDT,20221024,40,40,40,40,500
BDW,20221024,17.9,20.5,17.9,20.5,200
BHP,20221024,6.8,8.2,6.8,8.2,200
BIG,20221024,12.4,12.8,10.9,12.1,69200
BIO,20221024,28.9,28.9,21.8,21.8,200
BLI,20221024,16.6,16.6,12.7,15.8,8730
BLN,20221024,6,6,6,6,100
BLT,20221024,24.8,25.5,24.8,25.5,1200
BMG,20221024,17.8,17.8,17.8,17.8,100
BMN,20221024,38.8,38.8,38.6,38.8,3200
BMS,20221024,6,6.2,5.7,5.7,36028
BOT,20221024,5.2,5.2,4.3,4.3,189300
BQB,20221024,3.5,3.5,3.4,3.4,1100
BRR,20221024,19.6,24.9,19.6,22.5,3400
BSA,20221024,18.8,18.8,18.8,18.8,108
BSD,20221024,24.8,28.5,24.8,28.5,16700
BSG,20221024,11.4,12.8,10.8,12.5,9400
BSP,20221024,17,17,17,17,1
BSQ,20221024,31.7,36.6,31.6,31.6,60100
BSR,20221024,19.1,19.5,16.8,17.1,9827745
BT1,20221024,17,17,17,17,100
BTB,20221024,6.9,6.9,6.9,6.9,1
BTD,20221024,28.5,28.5,28,28.5,1100
BTG,20221024,8.5,8.5,8.5,8.5,1
BTN,20221024,4.8,4.8,4.5,4.5,20200
BVB,20221024,9.5,9.7,8.9,9.3,412574
BVG,20221024,2.1,2.1,1.9,2,11600
C4G,20221024,9.5,9.6,8.3,8.5,1396846
C92,20221024,3.1,3.1,2.7,2.7,5810
CAB,20221024,13,13,13,13,600
CAR,20221024,30,30.3,29.8,29.8,2700
CAT,20221024,22,22,22,22,100
CBI,20221024,7.9,7.9,7.7,7.7,2200
CBS,20221024,57.3,57.3,53.1,54,4707
CC1,20221024,11.6,12.7,11.6,12,3532
CCA,20221024,13.9,13.9,12.4,12.4,11800
CCM,20221024,47.5,47.5,47.5,47.5,100
CDR,20221024,6.2,7,5.3,5.3,1400
CEN,20221024,4.7,4.7,4,4.1,391420
CFM,20221024,8.2,8.2,8.2,8.2,1
CGV,20221024,3.1,3.1,3,3,6800
CHS,20221024,9.2,9.2,9.2,9.2,1000
CID,20221024,6.5,7.7,6.5,7.7,7700
CIP,20221024,2.7,2.7,2.6,2.6,6500
CLX,20221024,12.6,12.9,12,12,82310
CMD,20221024,19.9,19.9,19.9,19.6,4
CMT,20221024,18.7,18.7,15.6,17.6,18803
CNC,20221024,31,31,30.1,30.1,1400
CNT,20221024,13.5,13.5,11.1,13,2100
CQN,20221024,20.6,20.6,15.6,15.6,600
CQT,20221024,13.9,13.9,13.9,13.9,100
CSI,20221024,60,60,52.3,53.6,46000
CST,20221024,15.2,15.5,14.5,14.8,190351
CT6,20221024,4.8,4.8,4.8,4.8,200
CTW,20221024,16.5,16.5,16.5,16.5,100
DC1,20221024,8.8,8.8,8.8,8.8,100
DDN,20221024,10.9,11.7,10.7,10.7,50005
DDV,20221024,12.5,12.5,11.1,11.2,467106
DFF,20221024,15.3,15.8,13.8,15.2,8700
DHN,20221024,22.9,22.9,22.9,22.9,2
DID,20221024,3.9,3.9,3.5,3.6,33700
DMN,20221024,8.5,8.5,8.5,8.5,100
DNW,20221024,25.4,25.5,24.1,25.4,10650
DP1,20221024,22.9,22.9,21,21,2100
DPP,20221024,15,15,15,15,200
DRG,20221024,7.5,7.5,7.5,7.5,500
DRI,20221024,6.7,6.7,6.1,6.2,146723
DSC,20221024,43,43,36.5,41.5,149610
DSP,20221024,10.8,10.8,10.8,10.8,300
DTE,20221024,10.3,10.3,9.5,9.5,3400
DTG,20221024,25,25,25,25,1
